season,week,celebrity,judge_score_norm,estimated_vote_share,is_eliminated,age,industry,partner
1,2,Contestant_0,0.8666666666666667,0.13286734120405017,0,50,Actor/Actress,Charlotte Jorgensen
1,2,Contestant_1,0.5666666666666667,0.17166275829887145,0,29,Actor/Actress,Alec Mazo
1,2,Contestant_2,0.4666666666666667,0.24897595314608303,0,42,Athlete,Edyta Sliwinska
1,2,Contestant_3,0.8,0.13692269070996405,0,35,Model,Jonathan Roberts
1,2,Contestant_4,0.7,0.241233706744258,0,32,Singer/Rapper,Ashly DelGrosso
1,2,Contestant_5,0.6333333333333333,0.06833754989677437,1,32,TV Personality,Louis van Amstel
1,3,Contestant_0,0.8,0.15081557234605175,0,50,Actor/Actress,Charlotte Jorgensen
1,3,Contestant_1,0.7,0.23801045414275565,0,29,Actor/Actress,Alec Mazo
1,3,Contestant_2,0.43333333333333335,0.19254410562724605,1,42,Athlete,Edyta Sliwinska
1,3,Contestant_3,0.8666666666666667,0.14851861813532935,0,35,Model,Jonathan Roberts
1,3,Contestant_4,0.7333333333333333,0.27011124974861694,0,32,Singer/Rapper,Ashly DelGrosso
1,4,Contestant_0,0.7,0.22508737559970637,0,50,Actor/Actress,Charlotte Jorgensen
1,4,Contestant_1,0.8666666666666667,0.2717628227373628,0,29,Actor/Actress,Alec Mazo
1,4,Contestant_3,0.8333333333333334,0.11859924381905483,1,35,Model,Jonathan Roberts
1,4,Contestant_4,0.6666666666666666,0.3845505578438758,0,32,Singer/Rapper,Ashly DelGrosso
2,1,Contestant_6,0.7666666666666667,0.08335000406187738,0,42,Actor/Actress,Nick Kosovich
2,1,Contestant_7,0.6666666666666666,0.08714019413133882,0,39,Actor/Actress,Maksim Chmerkoskiy
2,1,Contestant_8,0.6,0.10948912086506346,0,66,Actor/Actress,Edyta Sliwinska
2,1,Contestant_9,0.6333333333333333,0.08651249430172443,0,42,Actor/Actress,Louis van Amstel
2,1,Contestant_10,0.7333333333333333,0.11750747141364468,0,26,Athlete,Tony Dovolani
2,1,Contestant_11,0.7,0.11131235567774998,0,43,Athlete,Anna Trebunskaya
2,1,Contestant_12,0.7666666666666667,0.08633907754426318,0,44,News Anchor,Jonathan Roberts
2,1,Contestant_13,0.4,0.14439595672757696,0,35,Singer/Rapper,Ashly DelGrosso
2,1,Contestant_14,0.8,0.14137574963915892,0,29,Singer/Rapper,Cheryl Burke
2,1,Contestant_15,0.43333333333333335,0.0325775756376024,1,46,Sports Broadcaster,Andrea Hale
2,2,Contestant_6,0.5666666666666667,0.04138677919822607,1,42,Actor/Actress,Nick Kosovich
2,2,Contestant_7,0.7333333333333333,0.1075784890965172,0,39,Actor/Actress,Maksim Chmerkoskiy
2,2,Contestant_8,0.7333333333333333,0.12175913383176927,0,66,Actor/Actress,Edyta Sliwinska
2,2,Contestant_9,0.6666666666666666,0.11424752222031412,0,42,Actor/Actress,Louis van Amstel
2,2,Contestant_10,0.9666666666666667,0.11659993899605291,0,26,Athlete,Tony Dovolani
2,2,Contestant_11,0.7666666666666667,0.11756268910707326,0,43,Athlete,Anna Trebunskaya
2,2,Contestant_12,0.8,0.10118418893817696,0,44,News Anchor,Jonathan Roberts
2,2,Contestant_13,0.5333333333333333,0.15320763737603948,0,35,Singer/Rapper,Ashly DelGrosso
2,2,Contestant_14,0.9,0.12647362123583122,0,29,Singer/Rapper,Cheryl Burke
2,3,Contestant_7,0.8666666666666667,0.11999430960738638,0,39,Actor/Actress,Maksim Chmerkoskiy
