Partner,Effect
Daniella Karagach,0.4050047628150413
Koko Iwasaki,0.18919197592944964
Peta Murgatroyd,0.15157324851950268
Sharna Burgess,0.12643341587869936
Mark Ballas,0.1240071939900963
Witney Carson,0.11091665965817389
Anna Demidova,0.10367255421192953
Tristan MacManus,0.09945214114517872
Ashly DelGrosso,0.09707320894126369
Rylee Arnold,0.0920537692240336
Allison Holker,0.08701030539153079
Emma Slater,0.08600898077105311
Alan Bersten (Rashad Jennings week 9),0.0698995087094158
Cheryl Burke,0.06978323712820986
Julianne Hough,0.06346312636703338
Witney Carson (Xoshitl Gomez week 9),0.051402529395561995
Lindsay Arnold,0.04774236571117977
Alan Bersten,0.044358645809552406
Britt Stewart,0.024755606267045874
Derek Hough,0.02438176218516317
Fabian Sanchez,0.023231465669009254
Maksim Chmerkoskiy,0.020932706862276024
Sasha Farber,0.014834680294675594
Ezra Sosa (Apolo Anton Ohno week 9),0.0044992259718570305
Lacey Schwimmer,0.0018662868881014916
Elena Grinenko,-0.010437181357140436
Corky Ballas,-0.010682627083057648
Daniella Karagach (Rumer Willis week 9),-0.01671078483768978
Louis van Amstel,-0.020505081662096098
Edyta Sliwinska,-0.02551717218102261
Karina Smirnoff,-0.025780480851315856
Anna Trebunskaya,-0.031024650411380205
Kym Johnson,-0.03498430129438674
Dmitry Chaplin,-0.05266743468552206
Damian Whitewood,-0.054733672447068615
Jenna Johnson,-0.0558686220336968
Jan Ravnik,-0.07584503789482051
Chelsie Hightower,-0.09654885873445114
Brandon Armstrong,-0.1150406538088088
Nick Kosovich,-0.12430526360585617
Gleb Savchenko,-0.12445307178800517
Pasha Pashkov,-0.12783802643065048
Val Chmerkovskiy (Joey Graziadei week 9),-0.13394597768950312
Valentin Chmerkovskiy,-0.13761436411104286
Keo Motsepe,-0.14622255716793026
Tony Dovolani,-0.15897634964438337
Alec Mazo,-0.15928750719377607
Artem Chigvintsev,-0.18030169504656937
Jonathan Roberts,-0.2142579917748608
